#;Material;Gensim;Split;Hybridisation;Hybridisation_type;Soerensen_normalisation;Alphabet_normalisation;Auxiliary_metrics;Outgroup identification;Outer distance split;Inner distance split;Split difference
1;Slavic standard;0;0.1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0367092519768019;0.0139032791410813;2.64033050076177
2;Slavic standard;0;0.1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0299922776274749;0.0102044643925748;2.939132959227
3;Slavic standard;0;0.1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0244790539146205;0.00889195662505627;2.75294346866718
4;Slavic standard;0;0.1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0379007566533332;0.0153690036387058;2.46605164162254
5;Slavic standard;0;0.1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.032259249995116;0.0125498540988996;2.57048805037061
6;Slavic standard;0;0.1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0330430924658877;0.0132389081988616;2.49590766621745
7;Slavic standard;0;0.1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0178067575431111;0.0038167875158968;4.66537827137259
8;Slavic standard;0;0.1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0145001063058424;0.00214455785055787;6.76135003869
9;Slavic standard;0;0.1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0118346419090534;0.00210202852968437;5.63010527303853
10;Slavic standard;0;0.1;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0182817864144814;0.00417610592899622;4.37771137162597
11;Slavic standard;0;0.1;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0156589709327001;0.0032759314970197;4.78000560968566
12;Slavic standard;0;0.1;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0160734716424068;0.00370189749910816;4.34195480730602
13;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.146394834991779;0.0306362183087548;4.7784890914537
14;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.148745675397502;0.0167689688758276;8.87029348667456
15;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.115698148577748;0.0216533545816557;5.34319743120843
16;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.149780417959604;0.0326894658368743;4.58191696086539
17;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.130896325944784;0.0307811657025296;4.25248111815424
18;Slavic standard;0;0.1;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.133552282664081;0.0319743092677932;4.17686216598288
19;Slavic standard;0;0.1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.047117433090427;0.00412075820597053;11.4341659314441
20;Slavic standard;0;0.1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.0974534188699009;0.0285928437675912;3.40831501973093
21;Slavic standard;0;0.3;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.036528539466651;0.0136028062414894;2.68536791733728
22;Slavic standard;0;0.3;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0306173012225997;0.0104831468975591;2.92062121439209
23;Slavic standard;0;0.3;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0263381430861455;0.00928720839821059;2.83595909091694
24;Slavic standard;0;0.3;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0384660658593951;0.0145515570027383;2.64343299154562
25;Slavic standard;0;0.3;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0326829168822226;0.0113953534206913;2.86809155237591
26;Slavic standard;0;0.3;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0338094860084843;0.0131072849647041;2.57944235587523
27;Slavic standard;0;0.3;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0178545601568533;0.002018471324877;8.84558523908746
28;Slavic standard;0;0.3;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.014800936656056;0.00158604978530838;9.33194959777269
29;Slavic standard;0;0.3;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0127347386305556;0.00154349765246647;8.25057207583427
30;Slavic standard;0;0.3;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0182701600095844;0.00269131386284123;6.78856534046034
31;Slavic standard;0;0.3;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0157053182340532;0.00177506307005013;8.84775222866287
32;Slavic standard;0;0.3;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0162701676798805;0.00266157045416563;6.11299530110729
33;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.150530152499487;0.0352581423816213;4.26937275566601
34;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.150127704868004;0.0150588428398161;9.9694051173083
35;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.124513630605512;0.0204893429219265;6.07699481042239
36;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.146394912624448;0.0325028750549864;4.50406040624978
37;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.130291143316346;0.0255088201766114;5.10768990546289
38;Slavic standard;0;0.3;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.131033180142442;0.0277607612320813;4.7200859892493
39;Slavic standard;0;0.3;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0479082061682065;0.00265968004712414;18.0127704533516
40;Slavic standard;0;0.3;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.0991353784495897;0.0301948860478592;3.28318438733165
41;Slavic standard;0;0.6;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0351904423539159;0.0129223791270098;2.72321698721579
42;Slavic standard;0;0.6;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0292018370043405;0.0111698454125118;2.61434567139401
43;Slavic standard;0;0.6;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0245383684154117;0.0094883369944006;2.58616113971212
44;Slavic standard;0;0.6;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0356895101174695;0.0136522457728719;2.61418602559788
45;Slavic standard;0;0.6;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0316399177533195;0.0119479857781719;2.6481382168301
46;Slavic standard;0;0.6;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0329141026633001;0.0135550841471182;2.42817398299203
47;Slavic standard;0;0.6;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0170541765668966;0.00338021767382378;5.04528944954143
48;Slavic standard;0;0.6;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0143571938977742;0.00234111909876227;6.132620038581
49;Slavic standard;0;0.6;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0120639709553676;0.00203500092388769;5.92823856429532
50;Slavic standard;0;0.6;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0177811807434969;0.00342474325048256;5.19197482643158
51;Slavic standard;0;0.6;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0158714832531543;0.0026882957129877;5.90392015896018
52;Slavic standard;0;0.6;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0161076147629259;0.00299825983727566;5.37232115864979
53;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.152693446307914;0.0355150048664707;4.29940659960518
54;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.149075796947766;0.0154331991523527;9.65942287636716
55;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.120870755484378;0.0195369287716843;6.1867838541522
56;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.145402424168348;0.0346022927729976;4.20210374850695
57;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.131136764069165;0.0275346362355596;4.76261109634012
58;Slavic standard;0;0.6;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.134234730456444;0.0306195561807034;4.38395415218459
59;Slavic standard;0;0.6;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0468487821737679;0.00515990548204962;9.07938766257374
60;Slavic standard;0;0.6;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.0952784511187711;0.0327177991128713;2.91212898490132
61;Slavic standard;0;1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0351573059490598;0.014143489346507;2.48575900103057
62;Slavic standard;0;1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0286742065752645;0.0112625568164824;2.54597664122774
63;Slavic standard;0;1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0239020805942972;0.00968915357989612;2.46689046645842
64;Slavic standard;0;1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0354642108424227;0.012960849877901;2.73625658629773
65;Slavic standard;0;1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0319842674460687;0.0130827366256055;2.44476888600426
66;Slavic standard;0;1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0330854207439639;0.0140824135872234;2.34941407870462
67;Slavic standard;0;1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0173641127625722;0.0033232122844027;5.22509887318052
